name	description	author	written	rarity	language	type	base_work	tags	read_bonus	image	content_link
Alice's Adventures in Wonderland	A girl follows a White Rabbit down a hole into a realm of nonsense, riddles, and impossible tea parties.\n\nThis volume collects the opening chapters — enough to taste the logic games and strange court etiquette that await deeper study.	Lewis Carroll	1865	common	Common	original		fiction,adventure,fantasy	0	https://www.gutenberg.org/cache/epub/11/pg11.cover.medium.jpg	https://www.gutenberg.org/ebooks/11
Treasure Island	Young Jim Hawkins inherits a map to buried gold and sails with Squire Trelawney toward an island haunted by pirates.\n\nThe opening establishes the Admiral Benbow inn, Billy Bones, and the black spot — the prelude to Long John Silver's treacherous charm.	Robert Louis Stevenson	1883	common	Common	original		adventure,sea,history	0	https://www.gutenberg.org/cache/epub/120/pg120.cover.medium.jpg	https://www.gutenberg.org/ebooks/120
The Time Machine	An inventor claims to have crossed time itself, returning with tales of humanity's far future.\n\nHe describes the gentle Eloi and the dreadful Morlocks — a world split between surface idyll and underground hunger.	H. G. Wells	1895	uncommon	Common	original		fiction,arcana,history	0	https://www.gutenberg.org/cache/epub/35/pg35.cover.medium.jpg	https://www.gutenberg.org/ebooks/35
The War of the Worlds	Cylinder-shaped vessels fall from the sky near London, and Martian war machines rise from the smoke.\n\nThe narrator flees through a countryside choked with refugees while heat-rays and black smoke erase familiar roads.	H. G. Wells	1898	uncommon	Common	original		fiction,arcana,history	0	https://www.gutenberg.org/cache/epub/36/pg36.cover.medium.jpg	https://www.gutenberg.org/ebooks/36
Frankenstein; or, The Modern Prometheus	Victor Frankenstein recounts how obsession led him to animate dead flesh on a storm-lashed night.\n\nThe creature's first awakening — a gasp, open eyes, and immediate horror from its maker — begins a tragedy of rejection and revenge.	Mary Wollstonecraft Shelley	1818	rare	Common	original		fiction,horror,arcana	0	https://www.gutenberg.org/cache/epub/84/pg84.cover.medium.jpg	https://www.gutenberg.org/ebooks/84
Dracula	Jonathan Harker's journal opens in a remote Transylvanian castle where his host never eats, never mirrors, and never sleeps by day.\n\nLetters and diary entries assemble the first warnings of a predator moving toward England by sea.	Bram Stoker	1897	rare	Common	original		fiction,horror,history	0	https://www.gutenberg.org/cache/epub/345/pg345.cover.medium.jpg	https://www.gutenberg.org/ebooks/345
The Adventures of Sherlock Holmes	Dr Watson introduces the consulting detective who reads crime scenes like printed pages.\n\nThese cases begin with small oddities — a scarlet thread, a missing racehorse, a woman who vanishes on her wedding day — and end in precise explanation.	Arthur Conan Doyle	1892	common	Common	original		fiction,history,mystery	0	https://www.gutenberg.org/cache/epub/1661/pg1661.cover.medium.jpg	https://www.gutenberg.org/ebooks/1661
Around the World in Eighty Days	Phileas Fogg wagers twenty thousand pounds that he can circle the globe in eighty days — and sets out that very evening.\n\nPassepartout, his new valet, discovers that calm routine has given way to trains, elephants, and relentless timetables.	Jules Verne	1873	common	Common	original		adventure,travel,history	0	https://www.gutenberg.org/cache/epub/103/pg103.cover.medium.jpg	https://www.gutenberg.org/ebooks/103
Twenty Thousand Leagues under the Sea	Reports of a sea monster attacking ships lead Professor Aronnax aboard the frigate Abraham Lincoln — and then into captivity aboard a submarine.\n\nCaptain Nemo introduces a vessel that walks the ocean floor beneath waves no sun reaches.	Jules Verne	1870	uncommon	Common	original		adventure,sea,arcana	0	https://www.gutenberg.org/cache/epub/164/pg164.cover.medium.jpg	https://www.gutenberg.org/ebooks/164
A Christmas Carol	Ebenezer Scrooge greets Christmas with contempt until four spirits interrupt his counting-house.\n\nThe first visitation — Marley's chain-laden ghost — warns that the living forge their own fetters link by link.	Charles Dickens	1843	common	Common	original		fiction,religion,history	0	https://www.gutenberg.org/cache/epub/46/pg46.cover.medium.jpg	https://www.gutenberg.org/ebooks/46
