Name	Source	CR	Type	Size	PP	Image	Token	Named
Aarakocra	Monster Manual (2014)	0.25	Humanoid	M				FALSE
Aarakocra Simulacrum	Storm King's Thunder	0.125	Humanoid	M				FALSE
Aarakocra Spelljammer	Spelljammer: Adventures in Space	6	Humanoid	M				FALSE
Aartuk Elder	Spelljammer: Adventures in Space	3	Plant	L				FALSE
Aartuk Starhorror	Spelljammer: Adventures in Space	2	Plant	M				FALSE
Aartuk Weedling	Spelljammer: Adventures in Space	2	Plant	M				FALSE
Aazael, the Dread Knight	Tales from the Shadows	6	Undead	M				TRUE
Aberrant Host	Monsters of Drakkenheim	9	Aberration	M				FALSE
Aberrant Zealot	Phandelver and Below: The Shattered Obelisk	8	Aberration	M				FALSE
Aberrant Zealot (Variant)	Phandelver and Below: The Shattered Obelisk	8	Aberration	M				FALSE
Abhorrent Overlord	Mythic Odysseys of Theros	9	Fiend	L				FALSE
Abjurer	Volo's Guide to Monsters	9	Humanoid	M				FALSE
Abjurer Wizard	Mordenkainen Presents: Monsters of the Multiverse	9	Humanoid	M				FALSE
Aboleth	Basic Rules (2014)	10	Aberration	L	10	https://www.dndbeyond.com/avatars/thumbnails/30761/774/1000/1000/638061093283829548.png	v5gn3	FALSE
Aboleth Spawn	Critical Role: Call of the Netherdeep	5	Aberration	M				FALSE
Abominable Beauty	Tome of Beasts 1	11	Fey	M				FALSE
Abominable Yeti	Monster Manual (2014)	9	Monstrosity	H				FALSE
Abominable Yeti (Allowak variant)	Explorer's Guide to Wildemount	9	Monstrosity	H				FALSE
Abyssal Chicken	Baldur's Gate: Descent into Avernus	0.25	Fiend	T				FALSE
Abyssal Wretch	Mordenkainen's Tome of Foes	0.25	Fiend	M				FALSE
Academy Apprentice	Monsters of Drakkenheim	0.5	Humanoid	M				FALSE
Academy Grandmaster	Monsters of Drakkenheim	12	Humanoid	M				FALSE
Academy Mage	Monsters of Drakkenheim	4	Humanoid	M				FALSE
Academy Outcast	Monsters of Drakkenheim	3	Humanoid	M				FALSE
Accursed Defiler	Tome of Beasts 1	4	Undead	M				FALSE
Acererak	Tomb of Annihilation	23	Undead	M				TRUE
Acolyte	Basic Rules (2014)	0.25	Humanoid	M				FALSE
Adranach	Tal'Dorei Campaign Setting Reborn	12	Construct	H				FALSE
Adult Amethyst Dragon	Fizban's Treasury of Dragons	16	Dragon	H				FALSE
Adult Black Dragon	Basic Rules (2014)	14	Dragon	H	21	https://www.dndbeyond.com/avatars/thumbnails/30782/337/1000/1000/638061959000854245.png	ymjq9	FALSE
Adult Blue Dracolich	Monster Manual (2014)	17	Undead	H				FALSE
Adult Blue Dragon	Basic Rules (2014)	16	Dragon	H	22	https://www.dndbeyond.com/avatars/thumbnails/21222/259/1000/1000/637708181891538923.jpeg	ptvyz	FALSE
Adult Brass Dragon	Basic Rules (2014)	13	Dragon	H	21	https://www.dndbeyond.com/avatars/thumbnails/30782/464/1000/1000/638061963274504288.png	rrwkg	FALSE
Adult Bronze Dragon	Basic Rules (2014)	15	Dragon	H	22	https://www.dndbeyond.com/avatars/thumbnails/30782/507/1000/1000/638061964555495008.png	5bn3d	FALSE
Adult Cave Dragon	Tome of Beasts 1	19	Dragon	H				FALSE
Adult Copper Dragon	Basic Rules (2014)	14	Dragon	H	22	https://www.dndbeyond.com/avatars/thumbnails/30782/529/1000/1000/638061965375855497.png	nz9rv	FALSE
Adult Crystal Dragon	Fizban's Treasury of Dragons	12	Dragon	H				FALSE
Adult Deep Dragon	Fizban's Treasury of Dragons	11	Dragon	H				FALSE
Adult Delerium Dragon	Monsters of Drakkenheim	18	Dragon	H				FALSE
Adult Emerald Dragon	Fizban's Treasury of Dragons	14	Dragon	H				FALSE
Adult Flame Dragon	Tome of Beasts 1	16	Dragon	H				FALSE
Adult Giant Antlion	The Griffon's Saddlebag: Book Two	12	Monstrosity	H				FALSE
Adult Gold Dragon	Basic Rules (2014)	17	Dragon	H	24	https://www.dndbeyond.com/avatars/thumbnails/30782/552/1000/1000/638061966174935960.png	bs6v5	FALSE
Adult Green Dragon	Basic Rules (2014)	15	Dragon	H	22	https://www.dndbeyond.com/avatars/thumbnails/30782/384/1000/1000/638061960603885350.png	4jvey	FALSE
Adult Kruthik	Mordenkainen's Tome of Foes	2	Monstrosity	M				FALSE
Adult Lunar Dragon	Spelljammer: Adventures in Space	13	Dragon	H				FALSE
Adult Mithral Dragon	Tome of Beasts 1	18	Dragon	H				FALSE
Adult Moonstone Dragon	Fizban's Treasury of Dragons	15	Dragon	H				FALSE
Adult Oblex	Mordenkainen's Tome of Foes	5	Ooze	M				FALSE
Adult Red Dracolich	Monster Manual (2014)	17	Undead	H				FALSE
Adult Red Dragon	Basic Rules (2014)	17	Dragon	H	23	https://www.dndbeyond.com/avatars/thumbnails/23375/69/1000/1000/637791959730543418.jpeg	m573u	FALSE
Adult Sapphire Dragon	Fizban's Treasury of Dragons	15	Dragon	H				FALSE
Adult Sea Dragon	Tome of Beasts 1	18	Dragon	H				FALSE
Adult Silver Dragon	Basic Rules (2014)	16	Dragon	H				FALSE
Adult Solar Dragon	Spelljammer: Adventures in Space	14	Dragon	H				FALSE
Adult Spirit Dragon	Forgotten Realms: Adventures in Faerûn	15	Dragon	H				FALSE
Adult Time Dragon	Planescape: Adventures in the Multiverse	18	Dragon	H				FALSE
Adult Topaz Dragon	Fizban's Treasury of Dragons	13	Dragon	H				FALSE
Adult Void Dragon	Tome of Beasts 1	16	Dragon	H				FALSE
Adult White Dragon	Basic Rules (2014)	13	Dragon	H				FALSE
Adult Wind Dragon	Tome of Beasts 1	16	Dragon	H				FALSE
Advanced Detention Drone	The Book of Many Things	7	Construct	L				FALSE
Aeorian Absorber	Explorer's Guide to Wildemount	10	Monstrosity	L				FALSE
Aeorian Nullifier	Explorer's Guide to Wildemount	12	Monstrosity	L				FALSE
Aeorian Reverser	Explorer's Guide to Wildemount	8	Monstrosity	L				FALSE
Aerisi Kalinoth	Princes of the Apocalypse	7	Humanoid	M				TRUE
Aerosaur	Bigby Presents: Glory of the Giants	10	Monstrosity	G				FALSE
Agdon Longscarf	The Wild Beyond the Witchlight	2	Fey	M				TRUE
Agog	Monsters of Drakkenheim	1	Aberration	M				TRUE
Agony the Ghost	Spelljammer: Adventures in Space	4	Undead	M				FALSE
Ahmaergo	Waterdeep: Dragon Heist	9	Humanoid	M				TRUE
Ahuizotl	Tales from the Shadows	2	Monstrosity	S				FALSE
Aida Reedmane	Humblewood Tales	4	Humanoid	M				TRUE
Air Elemental	Basic Rules (2014)	5	Elemental	L				FALSE
Air Elemental Myrmidon	Mordenkainen Presents: Monsters of the Multiverse	7	Elemental	M				FALSE
Akroan Hoplite	Mythic Odysseys of Theros	3	Humanoid	M				FALSE
Al-Aeshma Genie	Tome of Beasts 1	9	Elemental	L				FALSE
Ala	Tome of Beasts 1	8	Fey	M				FALSE
Alagarthas	The Wild Beyond the Witchlight	3	Humanoid	M				TRUE
Albino Dwarf Spirit Warrior	Tomb of Annihilation	1	Humanoid	M				FALSE
Albino Dwarf Warrior	Tomb of Annihilation	0.25	Humanoid	M				FALSE
Alceton	The Griffon's Saddlebag: Book Two	3	Monstrosity	L				FALSE
Aldani (Lobsterfolk)	Tomb of Annihilation	1	Monstrosity	M				FALSE
Ale Elemental	The Griffon's Saddlebag: Book Two	5	Elemental	L				FALSE
Alehouse Drake	Tome of Beasts 1	1	Dragon	T				FALSE
Algorith	Tome of Beasts 1	10	Construct	M				FALSE
Alhoon	Mordenkainen Presents: Monsters of the Multiverse	10	Undead	M				FALSE
Alienist	Monsters of Drakkenheim	11	Humanoid	M				FALSE
Alkilith	Mordenkainen Presents: Monsters of the Multiverse	11	Fiend	M				FALSE
Allip	Mordenkainen Presents: Monsters of the Multiverse	5	Undead	M				FALSE
Allopine	Monsters of Drakkenheim	1	Aberration	S				FALSE
Allosaurus	Basic Rules (2014)	2	Beast	L				FALSE
Almiraj	Tomb of Annihilation	0	Beast	S				FALSE
Alp	Tales from the Shadows	1	Fey	S				FALSE
Alpengrendel	The Crooked Moon Part Two: Monsters & Adventure Campaign	6	Giant	L				FALSE
Alseid	Mythic Odysseys of Theros	1	Fey	M				FALSE
Alseid (KP)	Tome of Beasts 1	0.5	Monstrosity	M				FALSE
Alseid Grovekeeper	Tome of Beasts 1	2	Monstrosity	M				FALSE
Altisaur	Bigby Presents: Glory of the Giants	13	Monstrosity	G				FALSE
Alustriel Silverhand	Vecna: Eve of Ruin	21	Humanoid	M				TRUE
Alyxian Aboleth	Critical Role: Call of the Netherdeep	12	Aberration	L				FALSE
Alyxian the Absolved	Critical Role: Call of the Netherdeep	14	Humanoid	M				TRUE
Alyxian the Callous	Critical Role: Call of the Netherdeep	12	Celestial	L				TRUE
Alyxian the Dispossessed	Critical Role: Call of the Netherdeep	13	Humanoid	M				TRUE
Alyxian the Hunter	Critical Role: Call of the Netherdeep	10	Construct	M				TRUE
Alyxian the Tormented	Critical Role: Call of the Netherdeep	11	Aberration	H				TRUE
Amalgamation	Monsters of Drakkenheim	23	Aberration	G				FALSE
Amarith Coppervein	Out of the Abyss	3	Humanoid	M				TRUE
Ambitious Assassin	The Book of Many Things	5	Humanoid	M				FALSE
Ambush Drake	Tyranny of Dragons	0.5	Dragon	M				FALSE
Amethyst Dragon Wyrmling	Fizban's Treasury of Dragons	4	Dragon	M				FALSE
Amethyst Greatwyrm	Fizban's Treasury of Dragons	26	Dragon	G				FALSE
Amidor the Dandelion	The Wild Beyond the Witchlight	0.5	Plant	S				TRUE
Ammalia Cassalanter	Waterdeep: Dragon Heist	5	Humanoid	M				TRUE
Amnizu	Mordenkainen's Tome of Foes	18	Fiend	M				FALSE
Amnizu (Summoner Variant)	Mordenkainen's Tome of Foes	18	Fiend	M				FALSE
Amphiptere	Tome of Beasts 1	3	Beast	M				FALSE
Amphisbaena	Tales from the Yawning Portal	3	Beast	H	12	https://5e.tools/img/bestiary/MOT/Amphisbaena.webp	98xbp	FALSE
Amphisbaena (Monstrosity)	Ghosts of Saltmarsh	0.5	Monstrosity	M				FALSE
Amphithere	Humblewood Tales	5	Monstrosity	L				FALSE
Amrik Vanthampur	Baldur's Gate: Descent into Avernus	3	Humanoid	M				TRUE
Analeptic Lizard	The Griffon's Saddlebag: Book Two	0.25	Monstrosity	T				FALSE
Analeptic Lizard (Familiar Variant)	The Griffon's Saddlebag: Book Two	0.25	Monstrosity	T				FALSE
Anarch	Guildmasters' Guide to Ravnica	0.25	Humanoid	M				FALSE
Anchorite of Talos	Dragon of Icespire Peak	3	Humanoid	M				FALSE
Ancient Amethyst Dragon	Fizban's Treasury of Dragons	23	Dragon	G				FALSE
Ancient Black Dragon	Basic Rules (2014)	21	Dragon	G				FALSE
Ancient Blue Dragon	Basic Rules (2014)	23	Dragon	G				FALSE
