name	description	author	written	rarity	language	type	base_work	tags	read_bonus	image	content_link
Volo's Guide to the Sword Coast	Volothamp Geddarm welcomes the reader to a survey of inns, taverns, shops, and sights along the western Heartlands — from south of Waterdeep to the borders of Amn, and east to Anauroch and Tunland.\n\nThe guide divides the Coast into five regions: the Coast proper, the High Moor, the Fields of the Dead, the Backlands, and Sunset Vale. Volo rates establishments with his trademark enthusiasm; marginal notes suggest Elminster has corrected more than a few claims.	Volothamp Geddarm (annotated by Elminster)	1366 DR	uncommon	Common	original		geography,sword_coast,travel	0	https://d1vzi28wh99zvq.cloudfront.net/images/44/16845-thumb140.jpg	https://www.dmsguild.com/product/16845/Volos-Guide-to-the-Sword-Coast-2e
Volo's Guide to the North	The famed travelogue continues north of Waterdeep into the Savage Frontier — a land of long winters, proud city-states, and roads that vanish into monster-haunted wilds.\n\nVolo catalogues settlements from Luskan to Silverymoon, warns of orc holds and Zhentarim ambitions, and repeats traveller's wisdom on when to hire guides and when to simply run. Elminster's footnotes dispute several tavern prices.	Volothamp Geddarm (annotated by Elminster)	1365 DR	uncommon	Common	original		geography,north,travel	0	https://d1vzi28wh99zvq.cloudfront.net/images/44/17557-thumb140.jpg	https://www.dmsguild.com/product/17557/Volos-Guide-to-the-North-2e
Volo's Guide to Waterdeep	An earlier volume in Volo's celebrated series, devoted entirely to the City of Splendors — its wards, guild politics, famous festhalls, and the unspoken rules of navigating noble society.\n\nVolo praises Waterdeep as the safest great city on the coast while cataloguing a dozen ways an outlander can still lose coin, dignity, or life before breakfast.	Volothamp Geddarm (annotated by Elminster)	1357 DR	uncommon	Common	original		geography,waterdeep,travel	0	https://d1vzi28wh99zvq.cloudfront.net/images/44/16836-thumb140.jpg	https://www.dmsguild.com/product/16836/Volos-Guide-to-Waterdeep-2e
Volo's Guide to All Things Magical	Volo turns from geography to enchantment — a gossip-laden tour of famous magic items, reputed spellbooks, and the eccentrics who collect them across the Heartlands.\n\nThe author insists he never steals secrets, only shares what any polite dinner guest might overhear. Several entries end with Elminster's terse corrections and warnings about cursed regalia.	Volothamp Geddarm (annotated by Elminster)	1356 DR	rare	Common	original		arcane,magic,history	0		
History of the North	A seven-volume chronicle tracing the North from the earliest human settlements through the rise and fall of kingdoms now remembered only in ruin and song.\n\nLater scholars treat it as foundational though incomplete — whole centuries along the Spine of the World are summarised in a single page, and several battles are attributed to heroes whose names no other source records.	Unknown	before 1368 DR	rare	Common	original		history,north	0	https://static.wikia.nocookie.net/forgottenrealms/images/9/90/Gold_bound_book_iwd2.png/revision/latest?cb=20221001051012	https://forgottenrealms.fandom.com/wiki/History_of_the_North
Traveler's Guide to the Sword Coast	A practical wayfarer's companion aimed at merchants and pilgrims rather than scholars — mile markers, toll customs, and which inns will actually honour a prepaid room.\n\nThe author advises that the Coast's main caravan routes are profitable precisely because they are dangerous, and that hiring armed escort is cheaper than recovering stolen wagons.	Unknown	1480 DR	common	Common	original		sword_coast,travel,trade	0	https://static.wikia.nocookie.net/forgottenrealms/images/2/21/Book_bg3.png/revision/latest/scale-to-width-down/376?cb=20210717021405	https://forgottenrealms.fandom.com/wiki/Traveler%27s_Guide_to_the_Sword_Coast
The Dessarin River	A river trader's handbook describing the Dessarin from its headwaters in the Evermoors to the trade towns where barges turn goods toward Waterdeep and the Inner Sea.\n\nChapters cover seasonal floods, toll rights at ford towns, and which stretches are safe only when the Zhent patrols are paid and smiling.	Unknown	1470 DR	common	Common	original		dessarin,trade,geography	0		https://forgottenrealms.fandom.com/wiki/The_Dessarin_River
Quiet Days along the Dessarin	Leaontar Dlarvin records slow seasons on the river — empty quays, gossip in riverside taverns, and the small rituals that keep bargemen sane between cargoes.\n\nThe prose is gentle and observational: herons in the reeds, children fishing off piers, and the particular silence that falls when winter ice begins to creep south from the Surbrin.	Leaontar Dlarvin	1462 DR	uncommon	Common	original		dessarin,trade,history	0		https://forgottenrealms.fandom.com/wiki/Quiet_Days_along_the_Dessarin
A Sage's Travel Guide to the North	Zanshareen Sabiyryn wrote for fellow scholars who must leave their towers and cross the Frontier on foot — notes on safe campsites, reliable map sellers, and which lordlings will demand letters of introduction.\n\nThe guide is dry but precise, with marginal sketches of landmark trees and stone cairns used when snow hides the trail.	Zanshareen Sabiyryn	1341 DR	uncommon	Common	original		north,travel,geography	0		https://forgottenrealms.fandom.com/wiki/A_Sage%27s_Travel_Guide_to_the_North
Famous Legends and Lore of the North	Harbalor Ilthon — called SnowSage in tavern verse — collects ballads, campfire tales, and disputed histories from Icewind Dale to the High Forest.\n\nEach legend is presented twice: the popular version sung in inns, and the older variant SnowSage claims predates human settlement. Readers are left to decide which is true.	Harbalor "SnowSage" Ilthon	1401 DR	common	Common	original		north,myth,legend	0		https://forgottenrealms.fandom.com/wiki/Famous_Legends_and_Lore_of_the_North
Sayings of the North	A slim collection of proverbs gathered by Annath the Learned and Faeranduil of Neverwinter — terse counsel on weather, hospitality, steel, and silence.\n\n"Trust the dog that growls at its master before the stranger who smiles" is typical of the North's preference for blunt wisdom over courtly metaphor.	Annath the Learned and Faeranduil of Neverwinter	1312 DR	common	Common	original		north,philosophy,proverb	0		https://forgottenrealms.fandom.com/wiki/Sayings_of_the_North
A Brief History of Undermountain	Daizez attempts a sober account of Halaster's mad labyrinth beneath Waterdeep — its layers, known entrances, and the expeditions that returned with maps, madness, or neither.\n\nThe author warns that any history of Undermountain is obsolete the moment it is inked, and dedicates a chapter to survivors' contradictory testimony.	Daizez	1369 DR	rare	Common	original		undermountain,history,dungeon	0		https://forgottenrealms.fandom.com/wiki/A_Brief_History_of_Undermountain
A Harper's Guide	Alustriel of Silverymoon compiled this work long before her elevation — a coded manual on recognizing Zhentarim fronts, safe houses, and the signs that a village song carries more than entertainment.\n\nCopies are rare outside Harper circles; the plain binding disguises a text that has saved more than one agent who memorised its ciphers.	Alustriel	1264 DR	rare	Common	original		harpers,history,intrigue	0		https://forgottenrealms.fandom.com/wiki/A_Harper%27s_Guide
